"ak ",28225
"aj ",20369
" ch",17534
"tak",15642
" ri",14994
"chi",13410
" ti",11993
"aka",10922
"kaj",9952
"cha",9623
"Kak",9564
" Ka",9508
"ri ",9464
" re",9244
"aˈ ",9165
"iˈ ",8385
"wiˈ",8123
"an ",7979
"ij ",7674
"bˈa",7498
" ma",7339
" ta",6952
"laj",6486
"k c",6428
"bˈi",6255
"re ",5881
"hak",5866
"tij",5710
"hi ",5671
"ris",5621
"ist",5499
"cri",5459
"j J",5368
" la",5354
"i t",5310
" ju",5263
"jun",5215
"iˈl",5184
"ios",5113
"Dio",5077
"jwi",5045
" Di",5033
"j D",4992
"jta",4958
" wi",4922
" jw",4909
" Je",4853
"ech",4795
"ch ",4782
" y ",4778
"ˈij",4704
"Jes",4650
"ibˈ",4465
"taˈ",4390
"i j",4210
"k r",4075
"ˈ r",4004
"abˈ",3972
"j r",3961
"jbˈ",3936
"mak",3918
"os ",3734
"j j",3730
"ˈl ",3713
" xc",3711
"k j",3532
", x",3526
"ˈ j",3526
"saj",3476
"un ",3460
"li ",3433
"j c",3402
"rij",3333
"bˈ ",3330
" xi",3248
" jc",3231
"rec",3203
"eˈ ",3185
"tia",3181
"ˈ t",3178
"il ",3155
" ra",3143
"ian",3120
"sti",3119
" cr",3112
"ich",3101
"lak",3082
" pi",3017
"ic ",3015
"ˈla",2953
"ˈan",2942
" ya",2916
"kˈa",2902
"qˈu",2893
"cˈa",2886
" li",2854
"n c",2838
"yak",2815
"n r",2788
"tzi",2769
"ˈ c",2743
" tz",2742
"n t",2722
"nti",2675
"k y",2652
"man",2644
"ajt",2600
"iri",2600
"ˈui",2596
" aj",2592
"suc",2563
"hir",2562
"l r",2557
"tzˈ",2507
"qui",2449
"ak.",2436
"ach",2430
"nta",2411
"che",2408
"sto",2382
"en ",2366
"esu",2346
"ucr",2346
"chˈ",2328
"heˈ",2312
"xch",2309
"esú",2306
"sús",2306
"ran",2298
"al ",2288
"ˈak",2263
" jb",2237
"ˈta",2233
"uan",2230
"tic",2222
"j K",2199
"ubˈ",2174
"jkˈ",2163
"unt",2148
"anm",2103
" jk",2084
"xij",2081
"and",2055
"i x",2051
"wic",2046
"tir",2030
" in",2029
" cu",2026
" at",2010
"do ",2007
"ndo",2006
" ni",2005
"ire",1986
"lta",1984
"iqˈ",1977
"ant",1970
"ir ",1969
"kˈi",1950
"k a",1949
"l c",1938
"jch",1932
"i w",1892
"ak,",1891
"pir",1881
"in ",1877
"ina",1856
"k, ",1848
"ro ",1845
"k l",1802
" ne",1789
"cˈu",1777
"nak",1776
"bˈe",1774
" jt",1753
"n j",1752
" bˈ",1744
"i c",1741
"win",1726
