"ng ",83962
" ch",42460
" ng",37733
" th",32876
" tr",27613
"ngư",25043
"ời ",22611
"nh ",21672
" nh",18151
" là",18147
"ười",17641
" và",17615
"gườ",16820
"i c",16591
" kh",15718
"và ",15360
"ác ",14511
"i t",14125
" ph",13899
" cá",13880
"n t",13837
" ta",13438
"g t",13209
"ức ",13155
"ủa ",12797
"ên ",12630
" củ",12600
"n c",12590
"của",12553
"i đ",12189
"g n",12079
"i n",12000
" Gi",11822
"các",11724
"ho ",11710
"cho",11702
"ơi ",11665
"ươi",11596
"g c",11509
"i, ",11257
"gươ",11126
" nó",11041
"Ðức",10999
" gi",10666
" Ch",10246
" Ðứ",9755
", v",9535
"ông",9527
"sẽ ",9470
" sẽ",9466
"là ",9413
"Chú",9396
"ong",9062
"n n",9058
" đã",9050
", t",8970
"đã ",8857
" tô",8683
"húa",8660
"ằng",8635
"a, ",8616
"Giê",8502
"iê-",8494
"ai ",8435
"úng",8420
"tôi",8345
"hún",8239
", c",8214
"n, ",8209
"ta ",8083
"làm",8063
"ình",8044
"àm ",8026
"úa ",7819
"ron",7817
"chú",7791
"c n",7699
"ấy ",7640
"ôi ",7623
" đi",7407
"on ",7319
"ê-h",7244
" co",7206
"ại ",7195
"tro",7155
"ùng",7108
"con",7031
"hô-",7029
"ến ",7019
"-hô",7012
" sự",6945
"n đ",6927
"rằn",6886
" rằ",6879
"-va",6859
"ô-v",6798
" có",6750
"sự ",6733
"có ",6662
" mà",6577
"ân ",6573
"hôn",6523
" đế",6443
"mà ",6432
" Ng",6427
"đến",6413
" đư",6327
"g đ",6240
" mì",6166
"i l",6147
"mìn",6062
"ột ",6060
"a c",6045
"ng:",6040
"Ngà",5945
" cù",5918
"cùn",5900
"khô",5861
" dâ",5850
"ước",5788
"gài",5752
"anh",5678
"ài ",5664
"c G",5662
" mộ",5635
"g: ",5610
"một",5582
"ết ",5556
"ững",5517
" qu",5490
"dân",5440
"i v",5413
"như",5397
"c C",5306
", n",5251
"hữn",5211
"à c",5199
"a đ",5145
"ều ",5140
" kẻ",5109
"c t",5088
" lạ",5080
"rời",5068
"y t",5053
"kẻ ",5045
"ớc ",5024
"a t",4978
"g l",4976
"t t",4945
" đó",4908
"ược",4875
"i m",4870
"hán",4850
"y, ",4831
"i s",4819
"va ",4751
"nhữ",4736
