" ku",24789
"ni ",22679
"a k",21003
" ng",20808
"aba",20585
"nga",19971
"la ",19722
"ba ",19145
"i, ",18350
"a, ",18126
"akh",17384
"kub",17351
" wa",17319
"ath",17048
"na ",17018
"thi",16788
" ba",16023
"a u",15741
"uku",15719
"uba",15647
"a n",15623
", n",15391
"e, ",15304
"ama",14979
"ele",14850
"o, ",14581
"eni",14152
" na",13651
"oku",13473
"nge",13329
"ela",12749
" uk",12725
"kho",12233
" kw",12181
"ke ",12128
"le ",12075
"ngo",12041
"kwa",11779
"eli",11702
"ang",11695
"ana",11237
"ndi",11150
"i k",11136
"a e",11007
"e n",10713
"ini",10695
"wen",10329
"ani",10141
"aka",9883
"ing",9664
",  ",9637
"a i",9545
"the",9494
" ab",9175
"lel",9095
"ya ",9055
"and",9015
"hi ",8990
"nya",8976
"e u",8712
"hla",8608
", u",8599
"tha",8375
"lo ",8371
"yo ",8249
"e k",8157
"ban",8094
"ith",8042
" nd",8004
"khe",7972
" ya",7965
"a a",7941
"ndl",7889
"e i",7832
" um",7807
"pha",7722
"gok",7713
"ile",7701
"i n",7643
"ezi",7625
"onk",7597
"ise",7504
"ayo",7410
"Yeh",7312
"kum",7235
"eho",7189
"isa",7170
"ung",7133
"a b",7133
"nke",7100
"ka ",7096
" no",6988
"wak",6970
"yan",6959
"ho ",6955
"ova",6884
"hov",6873
" en",6867
"he ",6866
"amb",6818
"eth",6818
"bak",6808
"e e",6766
"zi ",6762
"eng",6743
"ulu",6726
"esi",6724
"ala",6703
"uth",6595
" in",6560
" ka",6508
"abo",6474
" ez",6474
"azi",6465
" am",6314
"wa ",6307
"kwe",6262
"lwa",6218
"int",6186
"ngu",6136
"aph",6121
"zin",6044
" ne",5977
"bon",5973
"kun",5923
"o u",5891
"iya",5883
"ase",5875
" ke",5764
"ona",5741
"gen",5712
"o n",5710
"ye ",5701
"enz",5688
"nda",5673
"o e",5595
"sa ",5566
"eyo",5563
"li ",5533
"mbi",5512
"wab",5508
"end",5477
"isi",5430
"e a",5429
"aye",5424
"hi,",5418
"lan",5396
"han",5382
"ili",5382
"kan",5346
", w",5343
", a",5296
"izi",5254
"umk",5250
"i e",5227
"za ",5215
"hum",5183
"phe",5155
"uYe",5125
"a y",5105
"thu",5063
"ha ",5063
" em",5059
"u, ",5058
"ko ",5054
"we ",5052
"ali",5027
"nto",5018
"a w",4980
"i u",4944
"ind",4932
"nzi",4921
"o k",4887
"ben",4885
"aku",4865
"ni,",4864
"wan",4846
"ent",4825
"alo",4790
"o w",4775
"va ",4751
" uY",4738
"abe",4721
"bat",4682
"ale",4675
", b",4671
"ixo",4658
"khu",4651
"ham",4631
"bab",4568
"hix",4557
"lis",4537
"a l",4534
"hul",4518
"ula",4517
" be",4501
"bo ",4484
" za",4467
"ayi",4462
"i y",4437
" yo",4421
"wam",4408
"oko",4402
"tsh",4389
"ant",4378
"bi ",4344
" ph",4337
"ze ",4336
"yak",4332
"het",4315
" we",4307
"i b",4303
"yel",4279
"mka",4240
" ye",4215
"be ",4212
"i l",4208
" la",4194
"ley",4179
"i w",4167
"ika",4162
"Thi",4157
" ni",4138
"emi",4102
", e",4076
" es",4051
" un",4038
"sel",4017
"ma ",4009
"bin",3999
"man",3961
"nye",3959
" el",3918
"o z",3892
"yo,",3885
"elo",3874
"ena",3842
"hel",3841
"lwe",3808
"da ",3804
"ane",3800
" li",3792
"i a",3790
"kuy",3768
"nan",3768
"imi",3755
"ihl",3748
" si",3747
" ko",3744
" zi",3744
"nje",3737
"uma",3728
"nam",3723
"sin",3701
"dle",3683
"kut",3661
"awo",3651
"lu ",3648
"gam",3636
" ub",3630
" lo",3617
"uny",3596
"ntl",3582
"a; ",3567
"kuk",3567
"ntu",3567
" ak",3539
"dla",3535
"ony",3534
"ubu",3491
"way",3491
"wo ",3490
"len",3488
"wel",3446
"ga ",3432
"kel",3428
"o y",3415
"ne ",3408
"ina",3373
"uka",3334
"o; ",3333
"lin",3324
"o i",3313
"liz",3289
"m, ",3281
"o a",3280
"lal",3277
"kul",3270
"uye",3270
"ikh",3260
"a o",3239
"nin",3231
" im",3227
"lun",3213
"  n",3206
"elw",3197
"hon",3196
"phu",3190
" is",3188
"ahl",3185
"na,",3174
" bo",3160
"sit",3141
"wat",3139
"a z",3133
"gel",3133
"hak",3131
"u k",3128
"he,",3127
"mba",3126
" sa",3105
"yen",3093
"ubo",3093
"sha",3088
"jen",3075
"ule",3070
"akw",3070
"san",3058
"yam",3038
" zo",3035
"iny",3029
"xo ",3023
"e; ",3015
" iz",2980
"to ",2980
"nde",2976
"si ",2974
"mis",2969
"kuz",2966
"enx",2958
"hen",2949
"zwe",2949
"izw",2949
"nen",2918
" ii",2894
"iin",2876
"ray",2866
"aya",2865
"am ",2860
" an",2855
"een",2854
"se ",2853
" wo",2850
"i; ",2847
", k",2846
"uph",2823
"o b",2805
"iso",2804
"xa ",2789
"la,",2769
"osi",2765
"din",2755
"nts",2753
"ukh",2738
"uya",2733
"abi",2730
"nza",2724
"bul",2719
"umi",2718
"aza",2713
"ngi",2711
"li,",2706
"nik",2701
"e b",2694
"bam",2690
"ira",2679
", i",2676
"tu ",2675
"o l",2666
"le,",2638
"ibe",2634
"awu",2634
"mi ",2620
"sik",2615
"Sir",2611
"asi",2609
"ike",2608
"hab",2607
"a s",2606
"; n",2605
" ma",2599
"obu",2587
"zal",2583
"iph",2582
"e l",2579
"gab",2564
"nak",2562
"shu",2551
"bal",2540
"kaY",2524
"awa",2520
"zel",2513
"so ",2488
"eka",2485
" ok",2476
"aSi",2470
"nab",2448
"de ",2445
" nj",2443
"yin",2434
"uTh",2430
"min",2428
"i z",2424
"umb",2403
" le",2396
"tho",2383
"e y",2371
"usa",2370
"lok",2351
"e w",2344
"lab",2327
"oon",2315
"ene",2312
"nxa",2297
"esa",2293
"ebe",2286
"zon",2285
"diy",2282
"nok",2273
"mhl",2266
"eza",2263
"olo",2258
"ndo",2223
", N",2223
"ong",2214
" uy",2210
"ngc",2206
"uze",2194
"eku",2193
"kha",2183
"eki",2174
"oda",2165
"zo ",2157
"i i",2152
"kus",2134
"ezu",2129
" ze",2127
"ho,",2126
"yis",2122
"nis",2118
"win",2116
"am,",2112
"was",2098
"bha",2092
"bhi",2083
"dod",2075
"i s",2069
"mel",2055
"enu",2052
"uhl",2048
"ide",2030
"abh",2025
"iwe",2020
"lil",2018
"ube",2015
"lul",2012
"ibi",2012
"lam",2012
"uyi",1988
"va,",1983
" uT",1979
"wal",1979
"aYe",1978
"phi",1975
"ehl",1972
"kuw",1966
"iyo",1960
"Wat",1959
"dis",1955
"mth",1946
"lek",1944
"ond",1941
"ako",1937
"zwi",1937
"bo,",1935
"eze",1929
"gan",1928
"uni",1927
"o o",1916
"mkh",1910
"ulw",1897
"hle",1894
"hal",1891
"suk",1890
"sib",1889
"nze",1889
"waz",1885
"ye,",1883
"yab",1882
"abu",1880
";  ",1878
"eke",1874
"mas",1872
"any",1866
"yon",1858
"mbe",1853
"nyu",1852
"ni.",1850
" ut",1850
"iba",1847
" il",1847
"ke,",1835
"alw",1829
"okw",1826
" on",1825
"iza",1823
"eny",1819
"i o",1815
"hez",1814
"hin",1811
"kal",1810
"bay",1803
"dlu",1796
"e z",1791
"daw",1789
"bel",1779
"bhe",1775
"zan",1767
"ema",1766
"zis",1757
"yok",1755
" ek",1752
" eb",1748
"und",1741
"wi ",1737
"lak",1734
"ziy",1729
"baz",1724
"ame",1722
"mny",1721
"ses",1720
"uli",1715
"owo",1714
"oyi",1708
"son",1707
"e o",1704
"zib",1700
"Ndi",1696
"bek",1695
"a p",1692
"ine",1691
"hat",1687
"yo.",1684
"gis",1680
"esh",1677
"lo,",1677
"owa",1676
"uda",1674
"gal",1666
"o m",1663
"Ke ",1656
"mak",1652
"ume",1651
" yi",1650
"sen",1646
"hil",1646
"ash",1641
"gwe",1638
"; k",1623
"fun",1619
"kat",1616
"she",1615
"sho",1607
"tye",1599
"gum",1598
"sil",1592
"buy",1590
"tsi",1588
"usi",1587
"zim",1583
"umn",1581
"kos",1581
"tla",1575
"ngq",1567
"gom",1565
"nja",1564
"ami",1564
" oo",1564
"omb",1560
"ulo",1548
"maz",1544
"mbu",1536
"alu",1536
"ndu",1535
"uml",1533
"n, ",1531
"o s",1531
"hol",1526
"bas",1525
"hu ",1522
"zu ",1519
"lwi",1508
", U",1506
" lw",1502
"kom",1496
"gcw",1490
"kaS",1490
"zak",1485
"mat",1484
"oni",1483
"lik",1483
"wes",1480
"aha",1476
"isw",1476
"low",1475
"oth",1471
"oba",1467
"gqi",1467
"omn",1467
"mad",1460
"kud",1459
"shi",1459
"u b",1454
"enk",1451
"wul",1450
"omo",1450
"lon",1449
"sak",1448
"his",1441
" se",1440
"ose",1433
"eba",1428
"iyi",1428
"imb",1426
"kuh",1424
"hlo",1419
"kup",1418
"ya,",1418
"Ngo",1413
"zi,",1412
"mnt",1411
"we,",1410
"he.",1409
"onz",1408
"esu",1401
"use",1395
"oli",1393
"fum",1387
"lay",1383
"iwa",1380
"kil",1374
" bu",1372
"sal",1369
", l",1369
"u a",1367
"zen",1367
"yi ",1367
"ku ",1362
" mn",1359
"awe",1357
", o",1357
"u e",1356
"bus",1355
"; u",1355
"  u",1352
"uwe",1350
"buk",1346
"dul",1346
"mlo",1340
"gap",1322
" Nd",1310
"u n",1304
"ado",1300
"nte",1294
"zul",1292
"wa,",1285
"kay",1285
"zil",1284
"zit",1283
"nko",1283
"sis",1273
"hun",1270
"uts",1269
"nay",1268
" nt",1267
"azo",1266
"mbo",1265
"e s",1262
"wey",1258
"nas",1255
"ila",1254
"nee",1247
"lom",1246
"loo",1245
"seb",1237
"ibh",1235
" as",1234
"gak",1229
", y",1228
"cin",1227
", s",1224
"ade",1223
"Yud",1223
"luk",1220
"nta",1218
"uzi",1218
"avi",1217
"wem",1217
"sem",1214
" ay",1212
"ziz",1211
"mph",1211
"gub",1211
"jal",1209
"bub",1207
"la.",1205
"una",1205
"fik",1203
"oo ",1201
"ere",1197
"ish",1196
"a m",1194
"ni;",1194
"kuf",1189
"del",1188
"iku",1185
"gaz",1185
"baf",1182
"ubh",1179
"ezo",1178
"yal",1175
"mzi",1173
"anz",1170
" ib",1169
"ha,",1166
"Nko",1166
"nu ",1165
"efu",1164
"ima",1163
"asa",1162
"a-A",1161
"ink",1160
"bun",1154
"nel",1151
"cwa",1147
"Dav",1138
"vid",1138
"liy",1136
"nom",1130
"ebh",1130
"ize",1129
"anj",1129
" Wa",1128
"hlw",1125
"nez",1125
"afu",1122
"oya",1120
"emp",1115
"Uku",1114
"swe",1112
"hwe",1109
"adi",1107
" lu",1107
"inq",1106
"mih",1104
"uza",1104
"umt",1099
"gas",1097
"u u",1096
"Yer",1096
"nem",1090
"inz",1089
"nes",1089
"kis",1085
"ity",1085
"kaT",1084
"Yes",1078
"enj",1077
"cwe",1076
"iye",1075
"nqa",1073
", z",1070
"ezw",1070
"dib",1070
"sek",1070
" so",1070
"pho",1064
"waw",1063
"ka,",1061
"iki",1061
"yuk",1061
"zik",1059
"lu,",1059
"le.",1054
"swa",1053
" om",1052
"  a",1052
"yo;",1050
"aYu",1049
"aTh",1045
"bet",1045
"say",1044
"mo ",1043
"hos",1043
" Ng",1042
"une",1041
"zab",1041
"tli",1040
"afi",1039
"aze",1035
" aw",1035
"kam",1033
"kuY",1029
"sab",1028
"Kwa",1025
"ne,",1025
" ap",1024
"olu",1023
"bes",1021
"tya",1015
"di ",1013
"kwi",1011
"ho.",1010
"men",1008
"ilu",1007
"e p",1007
", Y",1004
"dan",1004
"lem",1004
"i m",1003
"iga",1002
"a. ",1000
"mal",996
"dwa",993
"mab",993
"si,",992
"aty",991
"uke",991
"eru",990
"dit",989
" kh",986
"gay",975
" it",975
"e. ",973
"nku",973
"oph",969
"wo,",968
"mna",968
"; w",967
"ubi",967
"bil",961
"emb",961
"ibu",960
"yik",957
"bap",956
"; b",955
"siz",955
"kaz",946
"hlu",945
"wet",945
"udl",944
"kok",940
"da,",937
"Kub",936
"li.",932
"baw",929
"gci",928
"ebu",927
"on ",927
"ada",924
"wez",924
"ixh",922
"nob",921
"mon",919
"kuq",917
"won",916
"dik",912
"zam",911
" ig",911
"u; ",908
"niy",907
"ump",904
"uwa",901
"ist",899
"lez",897
"ti ",897
"ekh",895
"ba,",893
"de,",891
"ko,",890
"tu,",890
"qin",890
"nka",888
"dil",888
"uyo",885
", m",885
"; a",885
"vel",882
"meh",881
"m n",881
"one",880
"eya",879
"kad",878
"afa",878
"waS",876
"bem",875
"ush",873
"amn",873
"hwa",871
"azw",871
"kon",869
"xhe",869
"o. ",868
"mfa",867
"hay",867
" uz",865
"na.",864
"hu,",864
"ibo",864
"den",863
"ilo",863
"lib",862
"go ",861
" uM",860
"dlw",857
"  b",855
"zay",854
"xo,",851
"uMo",850
"va.",849
"Mos",849
" Ba",848
"nxe",847
"qal",844
"gil",844
"bo.",844
"yim",843
"ntw",843
"  w",842
", A",835
"thw",835
"ono",833
"siy",829
"eph",828
"hek",828
"hiy",823
"u y",823
"sa,",822
"re,",821
"kuv",821
"rus",820
"miz",819
"nu,",818
"ats",817
"ese",813
"its",813
"idi",812
"tlo",811
"zek",811
"las",810
" ol",807
"gee",806
"am.",805
"ten",805
"eha",804
"six",802
"wok",800
"gem",799
"lo.",798
"sez",797
"hef",796
"le;",796
"ga,",795
"lit",794
"eme",794
"on,",794
"ka-",792
"bom",788
"law",786
"but",786
"uta",786
"hob",785
"ipu",783
"avu",782
"fa ",781
"faz",780
"fet",779
"mli",778
"aso",778
"web",776
"i. ",775
"kak",774
"re ",771
"gat",769
"dez",766
"Bhe",765
" uS",764
" uA",762
"ifu",760
" ob",757
"la;",756
" ow",756
"olw",755
" at",755
"yay",753
"Yip",751
"ron",746
"put",745
"lid",743
"Bha",743
"ofe",741
"ude",739
"elu",738
"ive",738
"uko",736
"ywa",735
"umz",735
"eYe",735
"anu",731
"m; ",731
" us",731
"bah",729
"gez",729
" az",728
"ke.",728
"has",728
"qon",727
"nqu",727
"ti,",726
"maS",725
"bi,",724
"usu",723
". W",723
"ges",721
"bez",720
"hiw",717
"na?",717
"zii",716
"wis",716
"dat",714
"ris",714
"odw",713
"uso",712
"ye.",711
"uDa",710
"omi",708
"ngw",708
"mfu",707
"yaz",706
"bho",705
" eY",705
"mni",704
"obo",703
"yit",702
"yib",702
"e m",700
"mag",699
"he;",698
"naw",697
" al",697
"ohl",696
"are",696
"liw",693
" et",691
"so,",688
"huk",688
"uqa",686
"emv",686
"mit",685
"uYo",684
"  e",683
"msi",682
"sih",681
"kre",680
"dim",680
"tom",679
" ul",678
"dab",677
"kob",674
"gol",673
"su ",673
"biz",672
"mah",668
"wad",666
"lum",665
"wap",664
"koo",664
"se,",664
"do ",664
"pro",664
"rof",664
"eBh",663
"me ",661
"rha",661
", I",660
"fan",659
"nap",658
"mva",658
"ete",656
"uki",655
"gob",655
"mnq",650
"ifa",649
"ole",649
"ma,",647
"u z",646
"nci",646
"idl",646
"tab",645
"lif",645
"uty",644
"unz",643
"a? ",641
"omk",640
"mvu",639
"te ",639
"ums",637
"xes",636
"uwo",633
"eso",631
"oma",631
"gaw",630
" mi",628
"ime",626
"adl",624
" Ye",624
"wee",622
"gon",621
" Ku",621
"moy",620
"liv",618
"no ",617
"waY",616
"yaw",615
"omh",614
"uzo",613
"ari",612
"zuk",611
"  k",610
"azu",607
"ake",606
"qwe",604
"khw",604
"hit",603
", K",602
"qub",602
".  ",601
"riy",601
"nce",601
"nil",600
"non",599
"hup",599
"xol",599
"seY",597
"ikw",596
"nal",596
"kug",595
", M",594
"ton",594
"eYi",594
"ki ",593
"xel",593
"; i",593
"Aba",593
" uh",591
" ey",590
"sam",590
"uvu",589
"yas",587
"oml",587
"we.",585
"nib",584
"lut",584
"eti",584
"Kri",584
"m u",583
"ebi",583
"stu",582
"li;",580
"Nda",580
"laz",577
"Yab",577
"u l",577
"wom",577
"daz",575
"yes",575
" uD",574
"ceb",573
"zig",573
"o p",571
"yom",569
"sim",569
"obh",567
"ati",566
"gun",566
"zip",565
"emh",564
"nyi",564
"ncw",563
"iqh",562
"mla",562
"ho;",562
"vum",562
"zih",562
"mpa",559
"bis",559
"ufa",558
"maY",558
"maw",557
"gek",556
"iva",556
"iNk",555
"ku,",552
" iy",552
"waf",551
"nit",551
"am;",550
"amk",550
"yat",548
"Yos",548
"buz",545
"ngx",544
"mke",544
"inc",543
"u w",542
"i p",542
"an ",542
"mil",539
"rel",539
"Nga",539
"mpu",538
"oka",535
"obe",535
"tan",535
"qam",534
"eko",533
"u i",532
"na;",527
"umo",527
"obi",526
" iN",526
"may",526
"emf",526
" Yi",525
"pah",525
"don",523
"nyw",523
"an,",522
"wah",521
"kab",520
"iko",519
" Uk",519
"sip",519
"siw",517
"umf",517
". U",516
"unj",516
"bo;",516
"Abh",515
"ano",513
"zi.",512
"eyi",512
"ega",512
"um,",510
"diz",509
"lo;",509
"wo.",508
