" ng",7215
"nga",6049
"thi",5868
"aba",5316
"a n",5045
"oku",5027
"ulu",4966
" ku",4896
"kub",4858
"uku",4839
"la ",4733
"ba ",4287
"ath",4162
"kho",4107
" na",4005
"a k",3948
" uk",3940
"ni ",3906
"a u",3870
"kul",3749
"na ",3701
"a, ",3664
"hi ",3626
"akh",3605
"uba",3599
" wa",3526
", n",3515
"pha",3395
"ngo",3216
"ela",3161
"ngi",3137
"e n",3120
" ba",2991
"nge",2961
"uth",2910
"le ",2855
"ang",2801
"gok",2789
"i, ",2726
"wa ",2718
"ini",2684
"eni",2657
"e, ",2613
"a e",2584
"kwa",2584
"i k",2580
"khu",2548
" ab",2498
"ha ",2442
" kw",2406
"ho ",2358
"ama",2328
"a i",2292
"aku",2272
"ile",2248
"i n",2244
"ing",2212
"ele",2207
"ani",2162
"isi",2158
"ezi",2132
" no",2066
"o, ",2064
"ma ",2057
"ban",2057
"lun",2046
"ona",2046
"ung",2036
"eth",2031
"wen",1978
"and",1957
"aka",1956
"zin",1948
"hul",1913
" um",1870
"tha",1868
"eng",1847
"a a",1839
"lwa",1811
"eph",1811
"esi",1798
"kut",1790
"e u",1773
"ye ",1758
" ka",1748
"e k",1745
"ke ",1743
"lu ",1720
"alo",1714
"the",1711
"hla",1703
": “",1695
"aph",1686
"ith",1669
"i u",1642
"azi",1629
"bon",1616
"kun",1612
"ala",1595
"we ",1595
"lo ",1586
"ane",1583
"yak",1557
"yo ",1555
"uma",1553
"nye",1553
"nku",1551
"han",1519
"izi",1510
"ka ",1496
" ni",1495
"amb",1494
"zi ",1485
"o n",1481
"ndl",1467
"iya",1465
"kuk",1464
"okh",1455
"lel",1445
"nke",1441
"ukh",1439
"kwe",1437
"ikh",1436
"i: ",1430
"lok",1416
", u",1411
"phe",1411
"onk",1410
"isa",1409
"unk",1384
"eli",1381
"hon",1369
" iz",1368
"Nku",1367
" en",1364
"u, ",1350
", k",1349
"aye",1347
"ana",1336
"wab",1334
"khe",1332
"za ",1330
"a o",1321
"enz",1318
" ya",1306
"ayo",1301
"hi:",1279
", w",1271
"thu",1265
"ase",1263
"nin",1262
"a l",1250
"kuy",1248
"e e",1237
"abo",1236
" si",1234
"i e",1219
"abe",1219
"si ",1218
"ngu",1217
"ula",1212
"a y",1211
"ina",1209
", b",1206
"a b",1205
" ok",1203
"gen",1200
"osi",1197
" ez",1183
" be",1172
" lo",1167
"wan",1165
"sa ",1165
"wat",1155
"ni,",1130
"e i",1121
"hel",1118
"uph",1118
"ze ",1110
"be ",1104
"man",1095
"ise",1075
"ena",1068
"ben",1064
"lan",1058
" la",1057
"kan",1057
" ko",1056
"tu ",1055
"bo ",1053
"he ",1047
" ne",1043
"ne ",1042
"sin",1042
"ind",1041
" in",1037
"eyo",1035
"hum",1027
"ndi",1023
"eka",1021
"bab",1017
"ale",1015
"o k",1014
"uye",1013
" es",1000
"li ",999
"ya ",997
"e a",988
"ntu",983
"esu",977
"kuz",970
"ali",970
"elw",965
"mun",964
"iph",958
"wak",946
"ule",933
"Jes",931
"o e",930
"kha",929
"na?",929
" em",927
"ubo",923
"ami",922
"mi ",918
"fun",913
"ahl",910
"i l",910
"mbi",909
"ika",904
"gal",903
"nya",898
"mba",898
"nda",893
"kel",890
"ham",887
"gak",887
"tho",883
"any",881
"a w",879
" is",875
"sik",874
"i a",874
"u n",874
"dla",868
" ph",857
"nje",854
" am",852
"ayi",848
"o u",848
" ye",847
"bak",845
"nok",845
"uka",842
"gab",841
"yis",840
"Kep",836
"lwe",831
"phi",828
"ris",824
" yi",824
"kos",820
"e b",818
"wo ",816
"ili",816
"way",814
"izw",811
"ga ",811
"nab",810
", a",809
"hu ",807
"lis",805
"i b",803
"ley",797
"nam",795
"bat",792
"la,",792
"nan",788
"u k",785
"end",784
"i y",779
"wam",773
"aza",767
"imi",761
"eku",758
"gam",755
"se ",751
"kus",751
"kup",750
"hle",744
"kep",743
"dwa",736
"su ",735
"da ",735
"u w",731
"nak",729
"ebe",722
"ist",721
"yen",720
"hol",717
"so ",715
"u e",707
"lal",707
"ihl",699
"asi",698
"hat",691
"o a",690
"nza",689
"nis",687
" nj",686
